Company Name,City,State,ZIP Code,Primary NAICS,Primary NAICS Description,Location Employee Size Actual,Location Sales Volume Actual,Type of Business,Square Footage,Credit Score Alpha,Saturday Open,Sunday Open
Ike Transportation Inc,Shelbyville,TN,37160,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,15,"$2,281,000",Private,"5,000 - 9,999",B+,,
Innovative Worldwide Logistics,Knoxville,TN,37918,541611,Administrative & General Mgmt Consulting Services,5,"$645,000",Private,"2,500 - 4,999",B+,Closed,Closed
Integrity First Transportation,Franklin,TN,37067,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,5,"$1,100,000",Private,"20,000 - 39,999",B,,
Interstate Logistics,Franklin,TN,37064,541611,Administrative & General Mgmt Consulting Services,5,"$739,000",Private,"5,000 - 9,999",B,,
J P Transportation,Denmark,TN,38391,541870,Advertising Material Distribution Services,5,"$935,000",Private,"5,000 - 9,999",B,,
Jarmon Ft Campbell Clarksville,Clarksville,TN,37040,485999,All Other Transit & Ground Passenger Trnsprtn,1,"$58,000",Private,"1 - 1,499",C,,
JB Hunt Transport Svc Inc,Memphis,TN,38118,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,12,"$2,711,000",Branch of Public Company,"10,000 - 19,999",A,0600,0600
Jit-Ex,Memphis,TN,38116,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,14,"$3,163,000",Private,"5,000 - 9,999",B+,,
Kenco Transportation Warehouse,Chattanooga,TN,37421,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,20,"$4,345,000",Private,"40,000 - 99,999",A+,,
Landgistics,Germantown,TN,38138,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,2,"$452,000",Private,"1,500 - 2,499",C+,,
Landmark Farms Inc,Clarksville,TN,37043,111998,All Other Miscellaneous Crop Farming,11,"$903,000",Private,"2,500 - 4,999",B,,
Legend Transportation,Goodlettsville,TN,37072,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,2,"$448,000",Private,"1,500 - 2,499",C+,,
Lifetime Transportation LLC,Memphis,TN,38141,488210,Support Activities For Rail Transportation,3,"$410,000",Private,"1,500 - 2,499",C+,,
Logistek LLC,Chattanooga,TN,37405,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,2,"$435,000",Private,"1,500 - 2,499",C+,,
Logistics Management Svc Inc,Smyrna,TN,37167,541990,"All Other Professional, Scientific/Technical Svcs",4,"$561,000",Private,"1 - 1,499",B,,
Martin Transport Inc,Chattanooga,TN,37406,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,28,"$6,083,000",Private,"40,000 - 99,999",A+,,
Max Express,Nashville,TN,37220,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,2,"$448,000",Private,"2,500 - 4,999",C+,,
Mccormick Trucking,Murfreesboro,TN,37130,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,5,"$1,056,000",Private,"2,500 - 4,999",B+,,
Mccormick Trucking Inc,Murfreesboro,TN,37129,484110,"General Freight Trucking, Local",7,"$897,000",Private,"5,000 - 9,999",B+,,
Memphis Office,Williston,TN,38076,484230,Specialized Freight (Exc Used Gds) Trckng Lng-Dist,3,"$423,000",Private,"1,500 - 2,499",C+,,
